Date,City_name,Views
2021-11-18,Manchester,0
2021-11-19,Manchester,0
2021-11-20,Manchester,0
2021-11-21,Manchester,0
2021-11-22,Manchester,0
2021-11-23,Manchester,0
2021-11-24,Manchester,0
2021-11-25,Manchester,0
2021-11-26,Manchester,0
2021-11-27,Manchester,0
2021-11-28,Manchester,0
2021-11-29,Manchester,0
2021-11-30,Manchester,0
2021-12-01,Manchester,0
2021-12-02,Manchester,0
2021-12-03,Manchester,0
2021-12-04,Manchester,0
2021-12-05,Manchester,0
2021-12-06,Manchester,0
2021-12-07,Manchester,0
2021-12-08,Manchester,0
2021-12-09,Manchester,0
2021-12-10,Manchester,0
2021-12-11,Manchester,0
2021-12-12,Manchester,0
2021-12-13,Manchester,0
2021-12-14,Manchester,0
2021-12-15,Manchester,0
2021-12-16,Manchester,0
2021-12-17,Manchester,0
2021-12-18,Manchester,0
2021-12-19,Manchester,0
2021-12-20,Manchester,0
2021-12-21,Manchester,0
2021-12-22,Manchester,0
2021-12-23,Manchester,0
2021-12-24,Manchester,0
2021-12-25,Manchester,0
2021-12-26,Manchester,0
2021-12-27,Manchester,0
2021-12-28,Manchester,0
2021-12-29,Manchester,0
2021-12-30,Manchester,0
2021-12-31,Manchester,0
2022-01-01,Manchester,0
2022-01-02,Manchester,0
2022-01-03,Manchester,0
2022-01-04,Manchester,0
2022-01-05,Manchester,0
2022-01-06,Manchester,0
2022-01-07,Manchester,0
2022-01-08,Manchester,0
2022-01-09,Manchester,0
2022-01-10,Manchester,0
2022-01-11,Manchester,0
2022-01-12,Manchester,0
2022-01-13,Manchester,0
2022-01-14,Manchester,0
2022-01-15,Manchester,0
2022-01-16,Manchester,0
2022-01-17,Manchester,0
2022-01-18,Manchester,0
2022-01-19,Manchester,0
2022-01-20,Manchester,0
2022-01-21,Manchester,0
2022-01-22,Manchester,0
2022-01-23,Manchester,0
2022-01-24,Manchester,0
2022-01-25,Manchester,0
2022-01-26,Manchester,0
2022-01-27,Manchester,0
2022-01-28,Manchester,0
2022-01-29,Manchester,0
2022-01-30,Manchester,0
2022-01-31,Manchester,0
2022-02-01,Manchester,0
2022-02-02,Manchester,0
2022-02-03,Manchester,0
2022-02-04,Manchester,0
2022-02-05,Manchester,0
2022-02-06,Manchester,0
2022-02-07,Manchester,0
2022-02-08,Manchester,0
2022-02-09,Manchester,0
2022-02-10,Manchester,0
2022-02-11,Manchester,0
2022-02-12,Manchester,0
2022-02-13,Manchester,0
2022-02-14,Manchester,0
2022-02-15,Manchester,0
2022-02-16,Manchester,0
2022-02-17,Manchester,0
2022-02-18,Manchester,0
2022-02-19,Manchester,0
2022-02-20,Manchester,0
2022-02-21,Manchester,0
2022-02-22,Manchester,0
2022-02-23,Manchester,0
2022-02-24,Manchester,0
2022-02-25,Manchester,0
2022-02-26,Manchester,0
2022-02-27,Manchester,0
2022-02-28,Manchester,0
2022-03-01,Manchester,0
2022-03-02,Manchester,0
2022-03-03,Manchester,0
2022-03-04,Manchester,0
2022-03-05,Manchester,0
2022-03-06,Manchester,0
2022-03-07,Manchester,0
2022-03-08,Manchester,0
2022-03-09,Manchester,0
2022-03-10,Manchester,0
2022-03-11,Manchester,0
2022-03-12,Manchester,0
2022-03-13,Manchester,0
2022-03-14,Manchester,0
2022-03-15,Manchester,0
2022-03-16,Manchester,0
2022-03-17,Manchester,0
2022-03-18,Manchester,0
2022-03-19,Manchester,0
2022-03-20,Manchester,0
2022-03-21,Manchester,0
2022-03-22,Manchester,0
2022-03-23,Manchester,0
2022-03-24,Manchester,0
2022-03-25,Manchester,0
2022-03-26,Manchester,0
2022-03-27,Manchester,0
2022-03-28,Manchester,0
2022-03-29,Manchester,0
2022-03-30,Manchester,0
2022-03-31,Manchester,0
2022-04-01,Manchester,0
2022-04-02,Manchester,0
2022-04-03,Manchester,0
2022-04-04,Manchester,0
2022-04-05,Manchester,0
2022-04-06,Manchester,0
2022-04-07,Manchester,0
2022-04-08,Manchester,0
2022-04-09,Manchester,0
2022-04-10,Manchester,0
2022-04-11,Manchester,0
2022-04-12,Manchester,0
2022-04-13,Manchester,0
2022-04-14,Manchester,0
2022-04-15,Manchester,0
2022-04-16,Manchester,0
2022-04-17,Manchester,0
2022-04-18,Manchester,0
2022-04-19,Manchester,0
2022-04-20,Manchester,0
2022-04-21,Manchester,0
2022-04-22,Manchester,0
2022-04-23,Manchester,0
2022-04-24,Manchester,0
2022-04-25,Manchester,0
2022-04-26,Manchester,0
2022-04-27,Manchester,0
2022-04-28,Manchester,0
2022-04-29,Manchester,0
2022-04-30,Manchester,0
2022-05-01,Manchester,0
2022-05-02,Manchester,0
2022-05-03,Manchester,0
2022-05-04,Manchester,0
2022-05-05,Manchester,0
2022-05-06,Manchester,0
2022-05-07,Manchester,0
2022-05-08,Manchester,0
2022-05-09,Manchester,0
2022-05-10,Manchester,0
2022-05-11,Manchester,0
2022-05-12,Manchester,0
2022-05-13,Manchester,0
2022-05-14,Manchester,0
2022-05-15,Manchester,0
2022-05-16,Manchester,0
2022-05-17,Manchester,0
2022-05-18,Manchester,0
2022-05-19,Manchester,0
2022-05-20,Manchester,0
2022-05-21,Manchester,0
2022-05-22,Manchester,0
2022-05-23,Manchester,0
2022-05-24,Manchester,0
2022-05-25,Manchester,0
2022-05-26,Manchester,0
2022-05-27,Manchester,0
2022-05-28,Manchester,0
2022-05-29,Manchester,0
2022-05-30,Manchester,0
2022-05-31,Manchester,0
2022-06-01,Manchester,0
2022-06-02,Manchester,0
2022-06-03,Manchester,0
2022-06-04,Manchester,0
2022-06-05,Manchester,0
2022-06-06,Manchester,0
2022-06-07,Manchester,0
2022-06-08,Manchester,0
2022-06-09,Manchester,0
2022-06-10,Manchester,0
2022-06-11,Manchester,0
2022-06-12,Manchester,0
2022-06-13,Manchester,0
2022-06-14,Manchester,0
2022-06-15,Manchester,0
2022-06-16,Manchester,0
2022-06-17,Manchester,0
2022-06-18,Manchester,0
2022-06-19,Manchester,0
2022-06-20,Manchester,0
2022-06-21,Manchester,0
2022-06-22,Manchester,0
2022-06-23,Manchester,0
2022-06-24,Manchester,0
2022-06-25,Manchester,0
2022-06-26,Manchester,0
2022-06-27,Manchester,0
2022-06-28,Manchester,0
2022-06-29,Manchester,0
2022-06-30,Manchester,0
2022-07-01,Manchester,0
2022-07-02,Manchester,0
2022-07-03,Manchester,0
2022-07-04,Manchester,0
2022-07-05,Manchester,0
2022-07-06,Manchester,0
2022-07-07,Manchester,0
2022-07-08,Manchester,0
2022-07-09,Manchester,0
2022-07-10,Manchester,0
2022-07-11,Manchester,0
2022-07-12,Manchester,0
2022-07-13,Manchester,0
2022-07-14,Manchester,0
2022-07-15,Manchester,0
2022-07-16,Manchester,0
2022-07-17,Manchester,0
2022-07-18,Manchester,0
2022-07-19,Manchester,0
2022-07-20,Manchester,0
2022-07-21,Manchester,0
2022-07-22,Manchester,0
2022-07-23,Manchester,0
2022-07-24,Manchester,0
2022-07-25,Manchester,0
2022-07-26,Manchester,0
2022-07-27,Manchester,0
2022-07-28,Manchester,0
2022-07-29,Manchester,0
2022-07-30,Manchester,0
2022-07-31,Manchester,0
2022-08-01,Manchester,0
2022-08-02,Manchester,0
2022-08-03,Manchester,0
2022-08-04,Manchester,0
2022-08-05,Manchester,0
2022-08-06,Manchester,0
2022-08-07,Manchester,0
2022-08-08,Manchester,0
2022-08-09,Manchester,0
2022-08-10,Manchester,0
2022-08-11,Manchester,0
2022-08-12,Manchester,0
2022-08-13,Manchester,0
2022-08-14,Manchester,0
2022-08-15,Manchester,0
2022-08-16,Manchester,0
2022-08-17,Manchester,0
2022-08-18,Manchester,0
2022-08-19,Manchester,0
2022-08-20,Manchester,0
2022-08-21,Manchester,0
2022-08-22,Manchester,0
2022-08-23,Manchester,0
2022-08-24,Manchester,0
2022-08-25,Manchester,0
2022-08-26,Manchester,0
2022-08-27,Manchester,0
2022-08-28,Manchester,0
2022-08-29,Manchester,0
2022-08-30,Manchester,0
2022-08-31,Manchester,0
2022-09-01,Manchester,0
2022-09-02,Manchester,0
2022-09-03,Manchester,0
2022-09-04,Manchester,0
2022-09-05,Manchester,0
2022-09-06,Manchester,0
2022-09-07,Manchester,0
2022-09-08,Manchester,0
2022-09-09,Manchester,0
2022-09-10,Manchester,0
2022-09-11,Manchester,0
2022-09-12,Manchester,0
2022-09-13,Manchester,0
2022-09-14,Manchester,0
2022-09-15,Manchester,0
2022-09-16,Manchester,0
2022-09-17,Manchester,0
2022-09-18,Manchester,0
2022-09-19,Manchester,0
2022-09-20,Manchester,0
2022-09-21,Manchester,0
2022-09-22,Manchester,0
2022-09-23,Manchester,0
2022-09-24,Manchester,0
2022-09-25,Manchester,13
2022-09-26,Manchester,10
2022-09-27,Manchester,0
2022-09-28,Manchester,0
2022-09-29,Manchester,0
2022-09-30,Manchester,0
2022-10-01,Manchester,0
2022-10-02,Manchester,0
2022-10-03,Manchester,0
2022-10-04,Manchester,0
2022-10-05,Manchester,0
2022-10-06,Manchester,0
2022-10-07,Manchester,0
2022-10-08,Manchester,0
2022-10-09,Manchester,0
2022-10-10,Manchester,0
2022-10-11,Manchester,0
2022-10-12,Manchester,0
2022-10-13,Manchester,0
2022-10-14,Manchester,0
2022-10-15,Manchester,0
2022-10-16,Manchester,0
2022-10-17,Manchester,0
2022-10-18,Manchester,0
2022-10-19,Manchester,0
2022-10-20,Manchester,0
2022-10-21,Manchester,0
2022-10-22,Manchester,0
2022-10-23,Manchester,0
2022-10-24,Manchester,0
2022-10-25,Manchester,0
2022-10-26,Manchester,0
2022-10-27,Manchester,0
2022-10-28,Manchester,0
2022-10-29,Manchester,0
2022-10-30,Manchester,0
2022-10-31,Manchester,0
2022-11-01,Manchester,0
2022-11-02,Manchester,0
2022-11-03,Manchester,0
2022-11-04,Manchester,0
2022-11-05,Manchester,0
2022-11-06,Manchester,0
2022-11-07,Manchester,0
2022-11-08,Manchester,0
2022-11-09,Manchester,0
2022-11-10,Manchester,0
2022-11-11,Manchester,0
2022-11-12,Manchester,0
2022-11-13,Manchester,0
2022-11-14,Manchester,0
2022-11-15,Manchester,0
2022-11-16,Manchester,0
2022-11-17,Manchester,0
2022-11-18,Manchester,0
2022-11-19,Manchester,0
2022-11-20,Manchester,0
2022-11-21,Manchester,0
2022-11-22,Manchester,0
2022-11-23,Manchester,0
2022-11-24,Manchester,0
2022-11-25,Manchester,0
2022-11-26,Manchester,0
2022-11-27,Manchester,0
2022-11-28,Manchester,0
2022-11-29,Manchester,0
2022-11-30,Manchester,0
2022-12-01,Manchester,0
2022-12-02,Manchester,0
2022-12-03,Manchester,0
2022-12-04,Manchester,0
2022-12-05,Manchester,0
2022-12-06,Manchester,0
2022-12-07,Manchester,0
2022-12-08,Manchester,0
2022-12-09,Manchester,0
2022-12-10,Manchester,0
2022-12-11,Manchester,0
2022-12-12,Manchester,0
2022-12-13,Manchester,0
2022-12-14,Manchester,0
2022-12-15,Manchester,0
2022-12-16,Manchester,0
2022-12-17,Manchester,0
2022-12-18,Manchester,0
2022-12-19,Manchester,0
2022-12-20,Manchester,0
2022-12-21,Manchester,0
2022-12-22,Manchester,0
2022-12-23,Manchester,0
2022-12-24,Manchester,0
2022-12-25,Manchester,0
2022-12-26,Manchester,0
2022-12-27,Manchester,0
2022-12-28,Manchester,0
2022-12-29,Manchester,0
2022-12-30,Manchester,0
2022-12-31,Manchester,0
2023-01-01,Manchester,0
2023-01-02,Manchester,0
2023-01-03,Manchester,0
2023-01-04,Manchester,0
2023-01-05,Manchester,0
2023-01-06,Manchester,0
2023-01-07,Manchester,0
2023-01-08,Manchester,0
2023-01-09,Manchester,0
2023-01-10,Manchester,0
2023-01-11,Manchester,0
2023-01-12,Manchester,0
2023-01-13,Manchester,0
2023-01-14,Manchester,0
2023-01-15,Manchester,0
2023-01-16,Manchester,0
2023-01-17,Manchester,0
2023-01-18,Manchester,0
2023-01-19,Manchester,0
2023-01-20,Manchester,0
2023-01-21,Manchester,0
2023-01-22,Manchester,0
2023-01-23,Manchester,0
2023-01-24,Manchester,0
2023-01-25,Manchester,0
2023-01-26,Manchester,0
2023-01-27,Manchester,0
2023-01-28,Manchester,0
2023-01-29,Manchester,0
2023-01-30,Manchester,0
2023-01-31,Manchester,0
2023-02-01,Manchester,0
2023-02-02,Manchester,0
2023-02-03,Manchester,0
2023-02-04,Manchester,0
2023-02-05,Manchester,0
2023-02-06,Manchester,0
2023-02-07,Manchester,0
2023-02-08,Manchester,0
2023-02-09,Manchester,0
2023-02-10,Manchester,0
2023-02-11,Manchester,0
2023-02-12,Manchester,0
2023-02-13,Manchester,0
2023-02-14,Manchester,0
2023-02-15,Manchester,0
2023-02-16,Manchester,0
2023-02-17,Manchester,0
2023-02-18,Manchester,0
2023-02-19,Manchester,0
2023-02-20,Manchester,0
2023-02-21,Manchester,0
2023-02-22,Manchester,0
2023-02-23,Manchester,0
2023-02-24,Manchester,0
2023-02-25,Manchester,0
2023-02-26,Manchester,0
2023-02-27,Manchester,0
2023-02-28,Manchester,0
2023-03-01,Manchester,0
2023-03-02,Manchester,0
2023-03-03,Manchester,0
2023-03-04,Manchester,0
2023-03-05,Manchester,0
2023-03-06,Manchester,0
2023-03-07,Manchester,0
2023-03-08,Manchester,0
2023-03-09,Manchester,0
2023-03-10,Manchester,0
2023-03-11,Manchester,0
2023-03-12,Manchester,0
2023-03-13,Manchester,0
2023-03-14,Manchester,0
2023-03-15,Manchester,0
2023-03-16,Manchester,0
2023-03-17,Manchester,0
2023-03-18,Manchester,0
2023-03-19,Manchester,0
2023-03-20,Manchester,0
2023-03-21,Manchester,0
2023-03-22,Manchester,0
2023-03-23,Manchester,0
2023-03-24,Manchester,0
2023-03-25,Manchester,0
2023-03-26,Manchester,0
2023-03-27,Manchester,0
2023-03-28,Manchester,0
2023-03-29,Manchester,0
2023-03-30,Manchester,0
2023-03-31,Manchester,0
2023-04-01,Manchester,0
2023-04-02,Manchester,0
2023-04-03,Manchester,0
2023-04-04,Manchester,0
2023-04-05,Manchester,0
2023-04-06,Manchester,0
2023-04-07,Manchester,0
2023-04-08,Manchester,0
2023-04-09,Manchester,0
2023-04-10,Manchester,0
2023-04-11,Manchester,0
2023-04-12,Manchester,0
2023-04-13,Manchester,0
2023-04-14,Manchester,0
2023-04-15,Manchester,0
2023-04-16,Manchester,0
2023-04-17,Manchester,0
2023-04-18,Manchester,0
2023-04-19,Manchester,0
2023-04-20,Manchester,0
2023-04-21,Manchester,0
2023-04-22,Manchester,0
2023-04-23,Manchester,0
2023-04-24,Manchester,0
2023-04-25,Manchester,0
2023-04-26,Manchester,0
2023-04-27,Manchester,0
2023-04-28,Manchester,0
2023-04-29,Manchester,0
2023-04-30,Manchester,0
2023-05-01,Manchester,0
2023-05-02,Manchester,0
2023-05-03,Manchester,0
2023-05-04,Manchester,0
2023-05-05,Manchester,0
2023-05-06,Manchester,0
2023-05-07,Manchester,0
2023-05-08,Manchester,0
2023-05-09,Manchester,0
2023-05-10,Manchester,0
2023-05-11,Manchester,0
2023-05-12,Manchester,0
2023-05-13,Manchester,0
2023-05-14,Manchester,0
2023-05-15,Manchester,0
2023-05-16,Manchester,0
2023-05-17,Manchester,0
2023-05-18,Manchester,0
2023-05-19,Manchester,0
2023-05-20,Manchester,0
2023-05-21,Manchester,0
2023-05-22,Manchester,0
2023-05-23,Manchester,0
2023-05-24,Manchester,0
2023-05-25,Manchester,0
2023-05-26,Manchester,0
2023-05-27,Manchester,0
2023-05-28,Manchester,0
2023-05-29,Manchester,0
2023-05-30,Manchester,0
2023-05-31,Manchester,0
2023-06-01,Manchester,0
2023-06-02,Manchester,0
2023-06-03,Manchester,0
2023-06-04,Manchester,0
2023-06-05,Manchester,0
2023-06-06,Manchester,0
2023-06-07,Manchester,0
2023-06-08,Manchester,0
2023-06-09,Manchester,0
2023-06-10,Manchester,0
2023-06-11,Manchester,0
2023-06-12,Manchester,0
2023-06-13,Manchester,0
2023-06-14,Manchester,0
2023-06-15,Manchester,0
2023-06-16,Manchester,0
2023-06-17,Manchester,0
2023-06-18,Manchester,0
2023-06-19,Manchester,0
2023-06-20,Manchester,0
2023-06-21,Manchester,0
2023-06-22,Manchester,0
2023-06-23,Manchester,0
2023-06-24,Manchester,0
2023-06-25,Manchester,0
2023-06-26,Manchester,0
2023-06-27,Manchester,0
2023-06-28,Manchester,0
2023-06-29,Manchester,0
2023-06-30,Manchester,0
2023-07-01,Manchester,0
2023-07-02,Manchester,0
2023-07-03,Manchester,0
2023-07-04,Manchester,0
2023-07-05,Manchester,0
2023-07-06,Manchester,0
2023-07-07,Manchester,0
2023-07-08,Manchester,0
2023-07-09,Manchester,0
2023-07-10,Manchester,0
2023-07-11,Manchester,0
2023-07-12,Manchester,0
2023-07-13,Manchester,0
2023-07-14,Manchester,0
2023-07-15,Manchester,0
2023-07-16,Manchester,0
2023-07-17,Manchester,0
2023-07-18,Manchester,0
2023-07-19,Manchester,0
2023-07-20,Manchester,0
2023-07-21,Manchester,0
2023-07-22,Manchester,0
2023-07-23,Manchester,0
2023-07-24,Manchester,0
2023-07-25,Manchester,0
2023-07-26,Manchester,0
2023-07-27,Manchester,0
2023-07-28,Manchester,0
2023-07-29,Manchester,0
2023-07-30,Manchester,0
2023-07-31,Manchester,0
2023-08-01,Manchester,0
2023-08-02,Manchester,0
2023-08-03,Manchester,0
2023-08-04,Manchester,0
2023-08-05,Manchester,0
2023-08-06,Manchester,0
2023-08-07,Manchester,0
2023-08-08,Manchester,0
2023-08-09,Manchester,0
2023-08-10,Manchester,0
2023-08-11,Manchester,0
2023-08-12,Manchester,0
2023-08-13,Manchester,0
2023-08-14,Manchester,0
2023-08-15,Manchester,0
2023-08-16,Manchester,0
2023-08-17,Manchester,0
2023-08-18,Manchester,0
2023-08-19,Manchester,0
2023-08-20,Manchester,0
2023-08-21,Manchester,0
2023-08-22,Manchester,0
2023-08-23,Manchester,0
2023-08-24,Manchester,0
2023-08-25,Manchester,0
2023-08-26,Manchester,0
2023-08-27,Manchester,0
2023-08-28,Manchester,0
2023-08-29,Manchester,0
2023-08-30,Manchester,0
2023-08-31,Manchester,0
2023-09-01,Manchester,0
2023-09-02,Manchester,0
2023-09-03,Manchester,0
2023-09-04,Manchester,0
2023-09-05,Manchester,0
2023-09-06,Manchester,0
2023-09-07,Manchester,0
2023-09-08,Manchester,0
2023-09-09,Manchester,0
2023-09-10,Manchester,0
2023-09-11,Manchester,0
2023-09-12,Manchester,0
2023-09-13,Manchester,0
2023-09-14,Manchester,0
2023-09-15,Manchester,0
2023-09-16,Manchester,0
2023-09-17,Manchester,0
2023-09-18,Manchester,0
2023-09-19,Manchester,0
2023-09-20,Manchester,0
2023-09-21,Manchester,0
2023-09-22,Manchester,0
2023-09-23,Manchester,0
2023-09-24,Manchester,0
2023-09-25,Manchester,0
2023-09-26,Manchester,0
2023-09-27,Manchester,0
2023-09-28,Manchester,0
2023-09-29,Manchester,0
2023-09-30,Manchester,0
2023-10-01,Manchester,0
2023-10-02,Manchester,0
2023-10-03,Manchester,0
2023-10-04,Manchester,0
2023-10-05,Manchester,0
2023-10-06,Manchester,0
2023-10-07,Manchester,0
2023-10-08,Manchester,0
2023-10-09,Manchester,0
2023-10-10,Manchester,0
2023-10-11,Manchester,0
2023-10-12,Manchester,0
2023-10-13,Manchester,0
2023-10-14,Manchester,0
2023-10-15,Manchester,0
2023-10-16,Manchester,0
2023-10-17,Manchester,0
2023-10-18,Manchester,0
2023-10-19,Manchester,0
2023-10-20,Manchester,0
2023-10-21,Manchester,0
2023-10-22,Manchester,0
2023-10-23,Manchester,0
2023-10-24,Manchester,0
2023-10-25,Manchester,0
2023-10-26,Manchester,0
2023-10-27,Manchester,0
2023-10-28,Manchester,0
2023-10-29,Manchester,0
2023-10-30,Manchester,0
2023-10-31,Manchester,0
2023-11-01,Manchester,0
2023-11-02,Manchester,0
2023-11-03,Manchester,0
2023-11-04,Manchester,0
2023-11-05,Manchester,0
2023-11-06,Manchester,0
2023-11-07,Manchester,0
2023-11-08,Manchester,0
2023-11-09,Manchester,0
2023-11-10,Manchester,0
2023-11-11,Manchester,0
2023-11-12,Manchester,0
2023-11-13,Manchester,0
2023-11-14,Manchester,0
2023-11-15,Manchester,0
2023-11-16,Manchester,0
2023-11-17,Manchester,0
2023-11-18,Manchester,0
2023-11-19,Manchester,0
2023-11-20,Manchester,0
2023-11-21,Manchester,0
2023-11-22,Manchester,0
2023-11-23,Manchester,0
2023-11-24,Manchester,0
2023-11-25,Manchester,0
2023-11-26,Manchester,0
2023-11-27,Manchester,0
2023-11-28,Manchester,0
2023-11-29,Manchester,0
2023-11-30,Manchester,0
2023-12-01,Manchester,0
2023-12-02,Manchester,0
2023-12-03,Manchester,0
2023-12-04,Manchester,0
2023-12-05,Manchester,0
2023-12-06,Manchester,0
2023-12-07,Manchester,0
2023-12-08,Manchester,0
2023-12-09,Manchester,0
2023-12-10,Manchester,0
2023-12-11,Manchester,0
2023-12-12,Manchester,0
2023-12-13,Manchester,0
2023-12-14,Manchester,0
2023-12-15,Manchester,0
2023-12-16,Manchester,0
2023-12-17,Manchester,0
2023-12-18,Manchester,0
2023-12-19,Manchester,0
2023-12-20,Manchester,0
2023-12-21,Manchester,0
2023-12-22,Manchester,0
2023-12-23,Manchester,0
2023-12-24,Manchester,0
2023-12-25,Manchester,0
2023-12-26,Manchester,0
2023-12-27,Manchester,0
2023-12-28,Manchester,0
